time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 14h49min26seg,171,1,13541,3158,1392,1950,1225,0,400,10625,2216,139,156,2525,0,25840
27_04_2021 14h51min02seg,172,0,12268,1964,1493,1800,1225,0,0,11000,668,27,0,2625,0,28800
27_04_2021 14h52min30seg,173,0,12322,1800,1506,600,775,0,0,10860,412,0,0,375,0,28800
27_04_2021 14h54min06seg,174,0,12440,1664,428,1000,700,0,0,11390,0,223,0,700,0,28800
27_04_2021 14h55min44seg,175,0,11598,5273,3904,1100,1225,0,0,10460,88,167,67,1325,0,28800
27_04_2021 14h57min16seg,176,0,11545,5539,3453,1400,1150,0,0,10495,0,167,0,1550,0,28800
27_04_2021 14h58min49seg,177,0,11845,2036,4014,1100,1150,0,0,10795,0,0,0,1250,0,28800
27_04_2021 15h00min25seg,178,0,12064,2496,5391,900,1225,0,0,10790,224,0,0,1125,0,28800
27_04_2021 15h02min04seg,179,0,13312,3334,4430,700,1225,0,0,10290,1972,223,134,925,0,28800
27_04_2021 15h03min39seg,180,0,11845,1732,4628,800,700,0,0,10795,0,0,0,500,0,28800
